City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
210,Kings Park,40.8862,-73.2573,66.38,91,100,14.97,mist,US,2022-05-28 02:43:35
211,Spearfish,44.4908,-103.8594,64.2,62,0,5.75,clear sky,US,2022-05-28 02:44:52
212,Nhulunbuy,-12.2333,136.7667,84.81,61,75,19.57,broken clouds,AU,2022-05-28 02:44:52
213,Iskateley,67.6803,53.1512,52.72,64,98,9.1,overcast clouds,RU,2022-05-28 02:44:53
214,Santa Vitoria Do Palmar,-33.5189,-53.3681,53.65,89,77,6.96,broken clouds,BR,2022-05-28 02:44:53
215,Bubaque,11.2833,-15.8333,78.22,82,100,4.34,overcast clouds,GW,2022-05-28 02:44:54
216,Hualmay,-11.0964,-77.6139,62.49,85,53,8.7,broken clouds,PE,2022-05-28 02:44:54
217,Adrar,20.5022,-10.0711,81.95,47,92,14.85,light rain,MR,2022-05-28 02:44:54
218,Douentza,14.9951,-2.9517,92.05,24,68,5.97,broken clouds,ML,2022-05-28 02:44:55
219,Templemore,52.7947,-7.8339,45.45,90,9,3.56,clear sky,IE,2022-05-28 02:44:55
220,Pringsewu,-5.3582,104.9744,77.4,86,91,1.05,overcast clouds,ID,2022-05-28 02:44:56
221,Port Lincoln,-34.7333,135.8667,60.6,60,66,14.0,broken clouds,AU,2022-05-28 02:44:56
222,Khani,41.9563,42.9566,45.97,69,0,4.47,clear sky,GE,2022-05-28 02:44:57
223,Hithadhoo,-0.6,73.0833,83.66,72,76,10.18,broken clouds,MV,2022-05-28 02:44:57
224,Chifeng,42.2683,118.9636,78.58,29,86,6.31,overcast clouds,CN,2022-05-28 02:44:58
225,Horodyshche,49.2849,31.4451,52.16,82,100,9.15,overcast clouds,UA,2022-05-28 02:44:59
226,Lodja,-3.4833,23.4333,70.29,92,93,1.16,overcast clouds,CD,2022-05-28 02:44:59
227,Rio Gallegos,-51.6226,-69.2181,35.65,69,40,19.57,scattered clouds,AR,2022-05-28 02:44:35
228,Menongue,-14.6585,17.691,50.45,63,0,3.71,clear sky,AO,2022-05-28 02:45:00
229,Garowe,8.4054,48.4845,77.52,67,34,22.5,scattered clouds,SO,2022-05-28 02:45:00
230,Unna,51.5333,7.6833,50.49,78,40,12.66,scattered clouds,DE,2022-05-28 02:45:01
231,Fort William,56.8165,-5.1121,45.3,92,100,2.55,overcast clouds,GB,2022-05-28 02:45:01
232,Pozhva,59.0912,56.0847,51.31,83,100,8.19,overcast clouds,RU,2022-05-28 02:45:02
233,Bambous Virieux,-20.3428,57.7575,71.85,88,40,6.91,scattered clouds,MU,2022-05-28 02:45:03
234,Ampanihy,-24.7,44.75,57.97,77,1,5.86,clear sky,MG,2022-05-28 02:45:03
235,Oistins,13.0667,-59.5333,80.69,74,40,18.41,scattered clouds,BB,2022-05-28 02:44:04
236,Cooma,-36.2333,149.1333,49.77,100,100,5.75,overcast clouds,AU,2022-05-28 02:45:05
237,Abu Kamal,34.4506,40.9171,78.44,23,0,6.89,clear sky,SY,2022-05-28 02:45:05
238,Nadym,65.5333,72.5167,65.01,32,22,17.0,few clouds,RU,2022-05-28 02:45:06
239,Yinchuan,38.4681,106.2731,85.68,11,100,7.05,overcast clouds,CN,2022-05-28 02:41:31
240,Kulhudhuffushi,6.6221,73.07,83.26,73,73,15.73,broken clouds,MV,2022-05-28 02:45:06
241,Lompoc,34.6391,-120.4579,65.01,66,0,12.66,clear sky,US,2022-05-28 02:45:07
242,Bengkulu,-3.8004,102.2655,79.41,88,100,13.67,overcast clouds,ID,2022-05-28 02:45:07
243,Sangar,63.9242,127.4739,54.46,45,100,0.81,overcast clouds,RU,2022-05-28 02:45:08
244,Maniitsoq,65.4167,-52.9,28.38,76,47,9.6,scattered clouds,GL,2022-05-28 02:45:08
245,Boddam,57.4667,-1.7833,46.78,89,6,18.3,clear sky,GB,2022-05-28 02:45:09
246,Sao Joao Da Barra,-21.6403,-41.0511,71.22,85,100,10.67,overcast clouds,BR,2022-05-28 02:45:09
247,Iqaluit,63.7506,-68.5145,26.33,86,100,5.75,overcast clouds,CA,2022-05-28 02:45:10
248,Pacific Grove,36.6177,-121.9166,62.28,82,100,5.01,overcast clouds,US,2022-05-28 02:45:10
249,Port Macquarie,-31.4333,152.9167,73.89,58,70,1.72,broken clouds,AU,2022-05-28 02:45:11
250,Banbury,52.0602,-1.3403,47.25,67,71,9.19,broken clouds,GB,2022-05-28 02:45:11
251,Sorland,67.667,12.6934,44.46,91,100,27.4,light rain,NO,2022-05-28 02:45:12
252,Deer Lake,49.1667,-57.4316,44.46,76,75,6.91,broken clouds,CA,2022-05-28 02:45:12
253,Antsirabe,-19.85,47.0333,50.86,97,25,4.0,scattered clouds,MG,2022-05-28 02:45:13
254,Teguldet,57.3064,88.1667,61.48,35,89,8.99,overcast clouds,RU,2022-05-28 02:45:13
255,Bowen,-20.0167,148.2333,75.33,56,0,7.34,clear sky,AU,2022-05-28 02:45:14
256,Cerro De Pasco,-10.6833,-76.2667,32.59,94,34,1.81,scattered clouds,PE,2022-05-28 02:45:16
257,Muli,2.9167,73.5667,83.88,70,21,13.09,few clouds,MV,2022-05-28 02:45:17
258,Marawi,7.9986,124.2928,75.99,86,85,5.84,overcast clouds,PH,2022-05-28 02:45:17
259,Antalaha,-14.9003,50.2788,69.76,83,49,6.15,light rain,MG,2022-05-28 02:45:17
