City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
356,Sauk Rapids,US,71.58,clear sky,45.5919,-94.1661,Best Western Plus Kelly Inn
357,Jiexiu,CN,83.35,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
358,Mae Hong Son,TH,82.54,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
359,Kalmunai,LK,82.13,overcast clouds,7.4167,81.8167,VS Villa
363,Loanda,AO,73.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
365,Tabou,CI,78.01,light rain,4.423,-7.3528,hotêl doufoulougou
366,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
368,Padilla,CO,71.17,overcast clouds,3.2204,-76.3139,La Granadina
369,San Joaquin,US,75.45,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
371,Houma,US,75.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
372,Brokopondo,SR,75.67,scattered clouds,4.75,-55.1667,Matu Island
379,Namatanai,PG,84.85,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
380,Los Banos,PH,81.73,light rain,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
384,Sola,VU,79.74,overcast clouds,-13.8833,167.55,Leumerus Bungalows
385,Naze,JP,72.52,light rain,28.3667,129.4833,Shishime Hotel
388,Luwuk,ID,81.84,light rain,-0.9516,122.7875,Hotel Santika Luwuk
389,Korla,CN,81.7,broken clouds,41.7597,86.1469,Gulisitan Hotel
391,Aden,YE,84.94,broken clouds,12.7794,45.0367,Sama Emirate Hotel
392,Sabang,ID,83.48,overcast clouds,5.8933,95.3214,Hotel Citra
393,Seybaplaya,MX,72.86,overcast clouds,19.65,-90.6667,sala de fiesta san Rafael
394,Cumana,VE,77.76,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
395,Melilla,ES,70.18,clear sky,35.2937,-2.9383,Hotel Anfora
396,San Patricio,US,83.53,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
397,Shingu,JP,79.43,scattered clouds,33.7333,135.9833,Shingu UI Hotel
400,Fallon,US,73.27,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
401,Itaituba,BR,75.69,overcast clouds,-4.2761,-55.9836,Hotel Campos
404,Oussouye,SN,75.38,overcast clouds,12.485,-16.5469,Auberge du Routard
405,Scottsbluff,US,79.03,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
406,Silver City,US,80.56,clear sky,32.7701,-108.2803,Copper Manor Motel
411,Itoman,JP,77.02,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
413,Diamantino,BR,72.99,overcast clouds,-14.4086,-56.4461,Hotel Delta
414,Lethem,GY,74.82,broken clouds,3.3803,-59.7968,Savannah Inn
420,Hit,IQ,79.97,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
421,Nichinan,JP,78.48,overcast clouds,31.6,131.3667,Guest House Aki
422,Kapit,MY,90.57,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
